runtime_in_min	tissue	chr	npheno
3.58	Nerve_Tibial	15	940
4.95	Nerve_Tibial	16	1220
6.02	Nerve_Tibial	17	1594
1.81	Nerve_Tibial	18	422
7.85	Nerve_Tibial	19	1690
2.58	Nerve_Tibial	20	651
1.26	Nerve_Tibial	21	300
2.8	Nerve_Tibial	22	647
2.77	Ovary	1	2466
1.96	Ovary	2	1688
1.66	Ovary	3	1392
1.26	Ovary	4	949
1.39	Ovary	5	1169
2.1	Ovary	6	1262
1.53	Ovary	7	1237
1.16	Ovary	8	902
1.16	Ovary	9	960
1.23	Ovary	10	983
1.63	Ovary	11	1357
1.67	Ovary	12	1375
0.61	Ovary	13	476
1.1	Ovary	14	847
1.11	Ovary	15	943
1.48	Ovary	16	1208
1.77	Ovary	17	1544
0.51	Ovary	18	401
2.38	Ovary	19	1719
0.77	Ovary	20	644
0.39	Ovary	21	300
0.84	Ovary	22	650
4.45	Pancreas	1	2253
2.98	Pancreas	2	1468
2.52	Pancreas	3	1235
1.96	Pancreas	4	830
2.18	Pancreas	5	1030
3.34	Pancreas	6	1131
2.46	Pancreas	7	1141
1.8	Pancreas	8	802
1.87	Pancreas	9	876
1.93	Pancreas	10	878
2.62	Pancreas	11	1253
2.63	Pancreas	12	1221
0.9	Pancreas	13	400
1.76	Pancreas	14	770
1.66	Pancreas	15	815
2.31	Pancreas	16	1076
2.84	Pancreas	17	1397
0.77	Pancreas	18	338
3.83	Pancreas	19	1570
1.26	Pancreas	20	592
0.57	Pancreas	21	257
1.34	Pancreas	22	585
4.05	Pituitary	1	2615
2.82	Pituitary	2	1773
2.73	Pituitary	3	1490
1.85	Pituitary	4	1017
2.06	Pituitary	5	1247
3.36	Pituitary	6	1321
2.23	Pituitary	7	1303
1.75	Pituitary	8	987
1.78	Pituitary	9	1053
1.8	Pituitary	10	1042
2.5	Pituitary	11	1432
2.63	Pituitary	12	1437
0.95	Pituitary	13	529
1.59	Pituitary	14	889
1.76	Pituitary	15	983
2.37	Pituitary	16	1284
2.81	Pituitary	17	1621
0.78	Pituitary	18	437
3.77	Pituitary	19	1799
1.27	Pituitary	20	708
0.59	Pituitary	21	316
1.34	Pituitary	22	687
5.01	Prostate	1	2588
3.63	Prostate	2	1759
2.9	Prostate	3	1443
2.3	Prostate	4	980
2.58	Prostate	5	1226
3.88	Prostate	6	1323
2.68	Prostate	7	1291
2.08	Prostate	8	961
2.17	Prostate	9	1024
2.03	Prostate	10	1008
2.92	Prostate	11	1434
3.17	Prostate	12	1423
1.06	Prostate	13	499
2.07	Prostate	14	919
2.01	Prostate	15	961
2.44	Prostate	16	1283
3.4	Prostate	17	1624
0.89	Prostate	18	427
4.35	Prostate	19	1796
1.46	Prostate	20	694
0.72	Prostate	21	319
1.61	Prostate	22	698
10.76	Skin_Sun_Exposed_Lower_leg	1	2524
7.25	Skin_Sun_Exposed_Lower_leg	2	1646
6.21	Skin_Sun_Exposed_Lower_leg	3	1385
4.75	Skin_Sun_Exposed_Lower_leg	4	917
5.3	Skin_Sun_Exposed_Lower_leg	5	1158
8.38	Skin_Sun_Exposed_Lower_leg	6	1270
5.83	Skin_Sun_Exposed_Lower_leg	7	1224
4.5	Skin_Sun_Exposed_Lower_leg	8	902
4.53	Skin_Sun_Exposed_Lower_leg	9	970
4.83	Skin_Sun_Exposed_Lower_leg	10	991
6.29	Skin_Sun_Exposed_Lower_leg	11	1365
6.41	Skin_Sun_Exposed_Lower_leg	12	1364
2.35	Skin_Sun_Exposed_Lower_leg	13	469
3.98	Skin_Sun_Exposed_Lower_leg	14	790
4.04	Skin_Sun_Exposed_Lower_leg	15	889
5.69	Skin_Sun_Exposed_Lower_leg	16	1216
7.1	Skin_Sun_Exposed_Lower_leg	17	1617
2.12	Skin_Sun_Exposed_Lower_leg	18	418
9.09	Skin_Sun_Exposed_Lower_leg	19	1670
3.13	Skin_Sun_Exposed_Lower_leg	20	659
1.54	Skin_Sun_Exposed_Lower_leg	21	308
3.24	Skin_Sun_Exposed_Lower_leg	22	637
3.08	Small_Intestine_Terminal_Ileum	1	2584
2.12	Small_Intestine_Terminal_Ileum	2	1763
1.8	Small_Intestine_Terminal_Ileum	3	1411
1.4	Small_Intestine_Terminal_Ileum	4	969
1.53	Small_Intestine_Terminal_Ileum	5	1184
2.39	Small_Intestine_Terminal_Ileum	6	1320
1.72	Small_Intestine_Terminal_Ileum	7	1310
1.3	Small_Intestine_Terminal_Ileum	8	918
1.41	Small_Intestine_Terminal_Ileum	9	989
1.47	Small_Intestine_Terminal_Ileum	10	1007
1.85	Small_Intestine_Terminal_Ileum	11	1400
2.3	Small_Intestine_Terminal_Ileum	12	1408
0.65	Small_Intestine_Terminal_Ileum	13	488
1.33	Small_Intestine_Terminal_Ileum	14	974
1.12	Small_Intestine_Terminal_Ileum	15	928
1.62	Small_Intestine_Terminal_Ileum	16	1276
2.03	Small_Intestine_Terminal_Ileum	17	1620
0.61	Small_Intestine_Terminal_Ileum	18	411
2.63	Small_Intestine_Terminal_Ileum	19	1741
0.88	Small_Intestine_Terminal_Ileum	20	665
0.41	Small_Intestine_Terminal_Ileum	21	308
0.98	Small_Intestine_Terminal_Ileum	22	698
3.71	Spleen	1	2494
2.88	Spleen	2	1683
2.17	Spleen	3	1373
1.62	Spleen	4	917
1.81	Spleen	5	1132
2.9	Spleen	6	1272
2.09	Spleen	7	1264
1.69	Spleen	8	903
1.65	Spleen	9	961
1.63	Spleen	10	972
2.26	Spleen	11	1375
2.23	Spleen	12	1375
0.81	Spleen	13	470
1.85	Spleen	14	972
1.38	Spleen	15	896
2.05	Spleen	16	1234
2.41	Spleen	17	1566
0.72	Spleen	18	411
3.28	Spleen	19	1751
1.12	Spleen	20	645
0.51	Spleen	21	300
1.27	Spleen	22	705
4.96	Stomach	1	2412
3.4	Stomach	2	1630
3.02	Stomach	3	1341
2.25	Stomach	4	900
2.63	Stomach	5	1110
3.94	Stomach	6	1208
2.76	Stomach	7	1192
2.11	Stomach	8	861
2.6	Stomach	9	909
2.21	Stomach	10	934
2.93	Stomach	11	1313
3.01	Stomach	12	1298
1.05	Stomach	13	443
2.17	Stomach	14	865
2.04	Stomach	15	882
2.66	Stomach	16	1178
3.24	Stomach	17	1493
1	Stomach	18	381
4.22	Stomach	19	1627
1.47	Stomach	20	625
0.73	Stomach	21	287
1.75	Stomach	22	635
2.34	Uterus	1	2450
1.64	Uterus	2	1669
1.38	Uterus	3	1398
1.02	Uterus	4	925
1.13	Uterus	5	1133
1.79	Uterus	6	1249
1.29	Uterus	7	1251
0.94	Uterus	8	882
0.97	Uterus	9	961
1.01	Uterus	10	974
1.37	Uterus	11	1376
1.4	Uterus	12	1370
0.51	Uterus	13	475
0.91	Uterus	14	848
0.9	Uterus	15	925
1.21	Uterus	16	1200
1.52	Uterus	17	1564
0.41	Uterus	18	391
1.97	Uterus	19	1718
0.63	Uterus	20	649
0.33	Uterus	21	305
0.67	Uterus	22	636
2.5	Vagina	1	2547
1.73	Vagina	2	1710
1.47	Vagina	3	1415
1.1	Vagina	4	957
1.21	Vagina	5	1177
1.88	Vagina	6	1293
1.32	Vagina	7	1242
1.03	Vagina	8	926
1.05	Vagina	9	974
1.08	Vagina	10	1001
1.55	Vagina	11	1388
1.47	Vagina	12	1392
0.54	Vagina	13	485
0.98	Vagina	14	877
0.95	Vagina	15	941
1.3	Vagina	16	1231
1.62	Vagina	17	1618
0.47	Vagina	18	420
2.06	Vagina	19	1728
0.69	Vagina	20	659
0.34	Vagina	21	310
0.73	Vagina	22	650
9.06	Whole_Blood	1	2068
5.98	Whole_Blood	2	1342
5.06	Whole_Blood	3	1092
3.59	Whole_Blood	4	675
4.3	Whole_Blood	5	871
7.81	Whole_Blood	6	1035
5.19	Whole_Blood	7	1015
3.68	Whole_Blood	8	678
3.93	Whole_Blood	9	760
4.15	Whole_Blood	10	765
5.68	Whole_Blood	11	1124
5.52	Whole_Blood	12	1090
1.81	Whole_Blood	13	330
4.28	Whole_Blood	14	762
3.13	Whole_Blood	15	641
5.23	Whole_Blood	16	1032
6.38	Whole_Blood	17	1298
1.62	Whole_Blood	18	289
8.89	Whole_Blood	19	1516
2.75	Whole_Blood	20	525
1.19	Whole_Blood	21	214
3.24	Whole_Blood	22	574
