runtime_in_min	tissue	chr	npheno
1.42	Brain_Anterior_cingulate_cortex_BA24	12	1309
0.56	Brain_Anterior_cingulate_cortex_BA24	13	482
0.91	Brain_Anterior_cingulate_cortex_BA24	14	773
0.9	Brain_Anterior_cingulate_cortex_BA24	15	855
1.34	Brain_Anterior_cingulate_cortex_BA24	16	1172
1.51	Brain_Anterior_cingulate_cortex_BA24	17	1468
0.46	Brain_Anterior_cingulate_cortex_BA24	18	401
2.04	Brain_Anterior_cingulate_cortex_BA24	19	1658
0.7	Brain_Anterior_cingulate_cortex_BA24	20	649
0.3	Brain_Anterior_cingulate_cortex_BA24	21	268
0.7	Brain_Anterior_cingulate_cortex_BA24	22	615
3.53	Brain_Cerebellum	1	2484
2.46	Brain_Cerebellum	2	1639
2.07	Brain_Cerebellum	3	1377
1.55	Brain_Cerebellum	4	918
1.83	Brain_Cerebellum	5	1211
2.76	Brain_Cerebellum	6	1250
1.95	Brain_Cerebellum	7	1224
1.53	Brain_Cerebellum	8	925
1.56	Brain_Cerebellum	9	1018
1.59	Brain_Cerebellum	10	995
2.06	Brain_Cerebellum	11	1376
2.12	Brain_Cerebellum	12	1362
0.83	Brain_Cerebellum	13	489
1.33	Brain_Cerebellum	14	786
1.41	Brain_Cerebellum	15	939
2.01	Brain_Cerebellum	16	1275
2.37	Brain_Cerebellum	17	1605
0.67	Brain_Cerebellum	18	401
3.11	Brain_Cerebellum	19	1752
1.01	Brain_Cerebellum	20	668
0.48	Brain_Cerebellum	21	295
1.1	Brain_Cerebellum	22	656
3.35	Brain_Cortex	1	2439
2.34	Brain_Cortex	2	1652
1.99	Brain_Cortex	3	1372
1.48	Brain_Cortex	4	910
1.67	Brain_Cortex	5	1167
2.56	Brain_Cortex	6	1223
1.82	Brain_Cortex	7	1180
1.47	Brain_Cortex	8	919
1.44	Brain_Cortex	9	986
1.51	Brain_Cortex	10	985
1.93	Brain_Cortex	11	1335
2	Brain_Cortex	12	1342
0.78	Brain_Cortex	13	494
1.25	Brain_Cortex	14	787
1.28	Brain_Cortex	15	895
1.81	Brain_Cortex	16	1189
2.13	Brain_Cortex	17	1513
0.65	Brain_Cortex	18	406
2.85	Brain_Cortex	19	1685
0.98	Brain_Cortex	20	664
0.42	Brain_Cortex	21	270
0.98	Brain_Cortex	22	629
2.84	Brain_Frontal_Cortex_BA9	1	2421
2	Brain_Frontal_Cortex_BA9	2	1634
1.67	Brain_Frontal_Cortex_BA9	3	1360
1.47	Brain_Frontal_Cortex_BA9	4	914
1.48	Brain_Frontal_Cortex_BA9	5	1169
2.21	Brain_Frontal_Cortex_BA9	6	1222
1.58	Brain_Frontal_Cortex_BA9	7	1170
1.23	Brain_Frontal_Cortex_BA9	8	916
1.21	Brain_Frontal_Cortex_BA9	9	982
1.31	Brain_Frontal_Cortex_BA9	10	977
1.62	Brain_Frontal_Cortex_BA9	11	1313
1.7	Brain_Frontal_Cortex_BA9	12	1329
0.65	Brain_Frontal_Cortex_BA9	13	490
1.05	Brain_Frontal_Cortex_BA9	14	786
1.07	Brain_Frontal_Cortex_BA9	15	880
1.52	Brain_Frontal_Cortex_BA9	16	1185
1.88	Brain_Frontal_Cortex_BA9	17	1483
0.54	Brain_Frontal_Cortex_BA9	18	398
2.42	Brain_Frontal_Cortex_BA9	19	1680
0.94	Brain_Frontal_Cortex_BA9	20	658
0.36	Brain_Frontal_Cortex_BA9	21	273
0.89	Brain_Frontal_Cortex_BA9	22	625
2.74	Brain_Hippocampus	1	2391
1.94	Brain_Hippocampus	2	1623
1.61	Brain_Hippocampus	3	1333
1.2	Brain_Hippocampus	4	876
1.41	Brain_Hippocampus	5	1163
2.17	Brain_Hippocampus	6	1214
1.49	Brain_Hippocampus	7	1161
1.19	Brain_Hippocampus	8	892
1.21	Brain_Hippocampus	9	979
1.24	Brain_Hippocampus	10	965
1.58	Brain_Hippocampus	11	1302
1.65	Brain_Hippocampus	12	1307
0.66	Brain_Hippocampus	13	487
1.05	Brain_Hippocampus	14	781
1.04	Brain_Hippocampus	15	870
1.52	Brain_Hippocampus	16	1185
1.76	Brain_Hippocampus	17	1480
0.54	Brain_Hippocampus	18	395
2.42	Brain_Hippocampus	19	1681
0.8	Brain_Hippocampus	20	647
0.36	Brain_Hippocampus	21	272
0.82	Brain_Hippocampus	22	619
2.82	Brain_Hypothalamus	1	2466
1.97	Brain_Hypothalamus	2	1664
1.65	Brain_Hypothalamus	3	1371
1.25	Brain_Hypothalamus	4	918
1.45	Brain_Hypothalamus	5	1190
2.21	Brain_Hypothalamus	6	1251
1.53	Brain_Hypothalamus	7	1194
1.22	Brain_Hypothalamus	8	918
1.22	Brain_Hypothalamus	9	1000
1.28	Brain_Hypothalamus	10	997
1.62	Brain_Hypothalamus	11	1335
1.69	Brain_Hypothalamus	12	1342
0.65	Brain_Hypothalamus	13	491
1.06	Brain_Hypothalamus	14	805
1.09	Brain_Hypothalamus	15	905
1.52	Brain_Hypothalamus	16	1213
1.77	Brain_Hypothalamus	17	1506
0.53	Brain_Hypothalamus	18	401
2.45	Brain_Hypothalamus	19	1720
0.82	Brain_Hypothalamus	20	659
0.36	Brain_Hypothalamus	21	282
0.84	Brain_Hypothalamus	22	632
3.3	Brain_Nucleus_accumbens_basal_ganglia	1	2460
2.28	Brain_Nucleus_accumbens_basal_ganglia	2	1651
1.93	Brain_Nucleus_accumbens_basal_ganglia	3	1370
1.43	Brain_Nucleus_accumbens_basal_ganglia	4	893
1.71	Brain_Nucleus_accumbens_basal_ganglia	5	1197
2.53	Brain_Nucleus_accumbens_basal_ganglia	6	1235
1.79	Brain_Nucleus_accumbens_basal_ganglia	7	1193
1.4	Brain_Nucleus_accumbens_basal_ganglia	8	904
1.39	Brain_Nucleus_accumbens_basal_ganglia	9	982
1.47	Brain_Nucleus_accumbens_basal_ganglia	10	979
1.89	Brain_Nucleus_accumbens_basal_ganglia	11	1323
1.92	Brain_Nucleus_accumbens_basal_ganglia	12	1312
0.77	Brain_Nucleus_accumbens_basal_ganglia	13	495
1.26	Brain_Nucleus_accumbens_basal_ganglia	14	809
1.28	Brain_Nucleus_accumbens_basal_ganglia	15	906
1.77	Brain_Nucleus_accumbens_basal_ganglia	16	1207
2.06	Brain_Nucleus_accumbens_basal_ganglia	17	1490
0.63	Brain_Nucleus_accumbens_basal_ganglia	18	407
2.84	Brain_Nucleus_accumbens_basal_ganglia	19	1697
0.95	Brain_Nucleus_accumbens_basal_ganglia	20	653
0.43	Brain_Nucleus_accumbens_basal_ganglia	21	283
0.96	Brain_Nucleus_accumbens_basal_ganglia	22	621
2.67	Brain_Putamen_basal_ganglia	1	2331
1.86	Brain_Putamen_basal_ganglia	2	1571
1.59	Brain_Putamen_basal_ganglia	3	1322
1.18	Brain_Putamen_basal_ganglia	4	866
